"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2011 BF40)","2083-2083","1","1.2e-6","18.50","24.8","0.037","-5.78","-5.78","0","bK11B40F"
"(2014 QC391)","2078-2116","44","5.6e-5","7.61","27.5","0.011","-5.79","-6.24","0","bK14Qd1C"
"(2016 JB18)","2089-2116","16","6.9e-5","3.25","27.4","0.011","-5.79","-5.82","0","bK16J18B"
"(2017 AB21)","2024-2110","25","5.6e-9","10.69","20.7","0.243","-5.80","-6.42","0","bK17A21B"
"(2015 BW516)","2034-2073","7","2.2e-5","11.40","27.7","0.010","-5.81","-5.91","0","bK15Bp6W"
"(2017 UJ43)","2050-2109","29","4.9e-5","6.91","27.8","0.009","-5.81","-6.15","0","bK17U43J"
"(2012 VS76)","2080-2114","10","1.8e-5","11.47","26.9","0.014","-5.82","-6.17","0","bK12V76S"
"443104 (2013 XK22)","2101-2101","1","1.4e-6","6.90","24.2","0.050","-5.82","-5.82","0","a0443104"
"(2015 DQ224)","2025-2089","191","8.3e-5","14.95","29.3","0.005","-5.83","-6.66","0","bK15DM4Q"
"(2013 NH6)","2060-2060","2","1.1e-7","21.74","23.4","0.073","-5.83","-6.09","0","bK13N06H"
"(2007 UN12)","2071-2116","34","2.5e-4","1.57","28.7","0.006","-5.84","-6.67","0","bK07U12N"
"(2011 DS)","2065-2116","16","2.7e-5","6.54","27.0","0.013","-5.84","-6.15","0","bK11D00S"
"(2016 SA2)","2110-2116","11","1.4e-4","5.19","28.1","0.008","-5.84","-6.22","0","bK16S02A"
"(2016 SK2)","2073-2082","5","2.2e-6","13.64","25.3","0.029","-5.85","-5.88","0","bK16S02K"
"(2008 LE)","2018-2116","122","2.3e-6","8.63","26.0","0.022","-5.85","-6.69","0","bK08L00E"
"(2010 LJ68)","2020-2106","25","4.9e-8","9.67","22.9","0.089","-5.86","-6.26","0","bK10L68J"
"(2011 DV10)","2093-2093","1","1.2e-6","16.27","24.8","0.038","-5.86","-5.86","0","bK11D10V"
"(2007 XZ9)","2068-2089","2","1.1e-6","13.01","24.8","0.037","-5.87","-5.91","0","bK07X09Z"
"(2009 WR52)","2031-2113","59","8.4e-5","5.41","28.3","0.007","-5.87","-6.27","0","bK09W52R"
"(2005 SO1)","2110-2110","9","3.9e-6","12.02","25.4","0.028","-5.87","-6.39","0","bK05S01O"
"(2015 EO)","2050-2083","7","7.0e-6","14.25","26.6","0.016","-5.87","-6.19","0","bK15E00O"
"(2015 DD54)","2114-2116","3","6.1e-6","6.72","25.4","0.028","-5.88","-5.95","0","bK15D54D"
"(2017 HG4)","2048-2115","23","3.9e-5","3.71","27.6","0.010","-5.88","-6.59","0","bK17H04G"
"(2007 UD6)","2058-2096","53","8.8e-5","5.99","28.3","0.007","-5.89","-6.45","0","bK07U06D"
"(2009 HC)","2095-2114","10","2.9e-6","3.72","24.8","0.038","-5.90","-6.25","0","bK09H00C"
"(2015 MN11)","2081-2081","2","5.1e-7","21.06","24.5","0.042","-5.90","-5.93","0","bK15M11N"
"(2010 HP20)","2021-2115","631","4.9e-5","7.36","28.2","0.008","-5.91","-7.31","0","bK10H20P"
"(2011 CL50)","2040-2116","75","5.0e-5","3.51","27.6","0.010","-5.91","-6.87","0","bK11C50L"
"(2011 TO)","2063-2076","5","6.0e-6","8.55","26.3","0.019","-5.91","-5.92","0","bK11T00O"
"(2017 FN1)","2033-2072","7","1.7e-4","17.92","30.6","0.003","-5.91","-6.03","0","bK17F01N"
"(2006 WZ184)","2084-2114","25","9.3e-6","7.26","26.1","0.021","-5.92","-6.71","0","bK06WI4Z"
"(2011 KF36)","2022-2106","6","9.9e-10","22.33","20.4","0.280","-5.92","-6.35","0","bK11K36F"
"(2013 RO30)","2044-2095","10","9.1e-5","9.26","28.4","0.007","-5.92","-6.03","0","bK13R30O"
"(2015 RN35)","2092-2114","5","4.0e-7","5.73","23.1","0.082","-5.92","-6.24","0","bK15R35N"
"(2005 TH50)","2031-2101","25","5.5e-5","4.95","28.0","0.009","-5.93","-6.26","0","bK05T50H"
"(2006 WV29)","2036-2108","12","5.7e-6","16.74","26.5","0.017","-5.93","-6.28","0","bK06W29V"
"(2009 TU)","2086-2111","7","1.9e-5","15.15","27.4","0.011","-5.93","-6.47","0","bK09T00U"
"(2016 GK2)","2092-2116","9","4.8e-5","9.12","27.8","0.009","-5.93","-6.17","0","bK16G02K"
"(2015 TG24)","2102-2116","30","1.6e-5","9.84","26.7","0.016","-5.94","-6.83","0","bK15T24G"
"(2014 OM207)","2089-2101","3","2.3e-4","8.20","29.1","0.005","-5.95","-5.95","0","bK14OK7M"
"(2004 VZ14)","2076-2114","4","1.9e-6","15.26","25.3","0.030","-5.96","-6.40","0","bK04V14Z"
"(2008 EV84)","2041-2106","3","7.1e-7","12.93","25.4","0.029","-5.96","-5.96","0","bK08E84V"
"(2013 JA17)","2027-2092","2","7.0e-10","9.64","19.1","0.510","-5.96","-6.01","0","bK13J17A"
"(2007 PR25)","2094-2113","3","1.9e-8","29.29","21.9","0.140","-5.96","-6.09","0","bK07P25R"
"(2006 BM8)","2106-2115","11","2.6e-6","14.79","25.4","0.028","-5.97","-6.15","0","bK06B08M"
"(2013 GA55)","2070-2114","23","4.5e-5","9.34","27.7","0.010","-5.97","-6.13","0","bK13G55A"
"(2007 EO88)","2073-2111","8","8.6e-6","10.95","26.4","0.018","-5.98","-6.48","0","bK07E88O"
"(2012 PB20)","2066-2116","10","2.8e-6","4.03","24.9","0.035","-5.98","-6.60","0","bK12P20B"
"(2011 CF66)","2018-2117","836","1.4e-5","13.03","27.8","0.009","-5.99","-7.22","0","bK11C66F"
"(2009 JL2)","2057-2116","12","3.4e-6","12.83","26.0","0.022","-6.00","-6.49","0","bK09J02L"
"(2016 CY135)","2103-2114","5","1.4e-6","6.74","24.4","0.044","-6.00","-6.20","0","bK16CD5Y"
"(2015 ET)","2076-2117","11","8.9e-6","11.67","26.7","0.016","-6.01","-6.49","0","bK15E00T"
"(2016 RP41)","2019-2114","49","1.7e-8","8.23","22.5","0.110","-6.01","-6.39","0","bK16R41P"
"(2013 BR27)","2073-2106","40","2.9e-5","10.95","27.7","0.010","-6.02","-6.46","0","bK13B27R"
"(2015 XR169)","2050-2116","159","8.1e-5","9.53","28.8","0.006","-6.02","-6.61","0","bK15XG9R"
"(1991 BA)","2023-2115","46","1.1e-5","17.23","28.7","0.006","-6.03","-6.14","0","bJ91B00A"
"(2009 HS44)","2111-2111","1","6.3e-6","18.29","26.6","0.017","-6.03","-6.03","0","bK09H44S"
"(2014 QF33)","2076-2082","2","1.4e-7","23.29","23.8","0.060","-6.03","-6.11","0","bK14Q33F"
"(2015 FA345)","2024-2102","17","1.6e-7","9.44","24.1","0.052","-6.03","-6.18","0","bK15FY5A"
"(2007 TL16)","2074-2090","10","5.1e-6","11.43","26.2","0.019","-6.04","-6.13","0","bK07T16L"
"(2009 VZ39)","2017-2116","917","7.2e-6","6.31","27.9","0.009","-6.05","-7.06","0","bK09V39Z"
"(2014 GY44)","2074-2089","4","1.7e-6","12.31","25.4","0.028","-6.05","-6.31","0","bK14G44Y"
"(2016 EM156)","2108-2116","4","5.7e-5","8.81","27.9","0.009","-6.05","-6.06","0","bK16EF6M"
"(2010 TW54)","2074-2115","16","3.2e-5","7.78","27.6","0.010","-6.07","-6.12","0","bK10T54W"
"(2017 RC)","2086-2117","26","4.5e-5","9.85","27.9","0.009","-6.07","-6.50","0","bK17R00C"
"(2014 SR261)","2058-2115","8","4.6e-6","15.27","26.8","0.015","-6.07","-6.14","0","bK14SQ1R"
"(2014 CH13)","2019-2116","135","1.5e-7","5.11","24.3","0.047","-6.07","-6.25","0","bK14C13H"
"(2012 BA102)","2104-2117","7","1.2e-5","7.21","26.5","0.017","-6.08","-6.31","0","bK12BA2A"
"(2016 CG18)","2062-2116","40","8.8e-5","4.25","28.5","0.007","-6.08","-6.44","0","bK16C18G"
"(2016 NP56)","2024-2113","17","4.5e-6","2.18","26.2","0.019","-6.08","-6.30","0","bK16N56P"
"(2016 LG10)","2108-2108","4","3.2e-6","8.69","25.5","0.027","-6.10","-6.45","0","bK16L10G"
"(2012 XM16)","2081-2107","2","2.4e-6","12.69","25.8","0.024","-6.10","-6.15","0","bK12X16M"
"(2015 TL21)","2061-2095","10","4.0e-6","15.23","26.4","0.017","-6.10","-6.74","0","bK15T21L"
"(2017 UL7)","2028-2051","5","1.3e-7","16.24","24.4","0.045","-6.10","-6.20","0","bK17U07L"
"(2013 WZ44)","2111-2111","1","3.0e-6","12.56","25.7","0.025","-6.11","-6.11","0","bK13W44Z"
"(2009 TD17)","2047-2110","55","2.3e-5","6.57","27.7","0.010","-6.12","-6.93","0","bK09T17D"
"(2014 JT79)","2017-2116","1137","1.9e-6","8.61","27.1","0.013","-6.12","-7.00","0","bK14J79T"
"(2014 HD198)","2018-2115","79","8.0e-6","17.56","29.6","0.004","-6.13","-6.18","0","bK14HJ8D"
"(2015 GB1)","2031-2090","7","6.1e-6","7.38","26.6","0.016","-6.13","-6.55","0","bK15G01B"
"(2004 FH)","2073-2117","14","5.4e-6","6.93","26.1","0.020","-6.14","-6.60","0","bK04F00H"
"(2007 YS56)","2104-2113","3","4.2e-6","9.14","25.8","0.023","-6.14","-6.41","0","bK07Y56S"
"(2006 UJ185)","2083-2114","9","2.5e-5","15.46","27.9","0.009","-6.14","-6.38","0","bK06UI5J"
"(2014 FX32)","2076-2108","2","1.1e-6","9.05","25.1","0.033","-6.14","-6.15","0","bK14F32X"
"(2015 RD36)","2099-2099","1","2.0e-8","36.46","22.6","0.100","-6.14","-6.14","0","bK15R36D"
"(2008 YV32)","2085-2107","12","6.2e-6","8.79","26.4","0.018","-6.15","-6.65","0","bK08Y32V"
"(2017 HJ61)","2024-2089","9","1.0e-5","13.44","28.8","0.006","-6.15","-6.18","0","bK17H61J"
"(2016 TQ18)","2086-2110","3","6.6e-6","9.59","26.3","0.018","-6.15","-6.18","0","bK16T18Q"
"(2016 AZ193)","2017-2114","505","2.2e-6","5.10","26.6","0.016","-6.15","-6.86","0","bK16AJ3Z"
"(2012 UE34)","2116-2116","1","2.7e-7","5.49","23.1","0.080","-6.15","-6.15","0","bK12U34E"
"(2014 WA)","2049-2049","1","1.8e-5","9.55","28.2","0.008","-6.16","-6.16","0","bK14W00A"
"(2008 DA4)","2091-2100","2","3.4e-7","11.16","23.9","0.056","-6.17","-6.43","0","bK08D04A"
"(2015 BE511)","2057-2103","5","5.1e-5","9.87","28.7","0.006","-6.17","-6.30","0","bK15Bp1E"
"(2001 SB170)","2089-2095","2","2.9e-8","22.49","22.4","0.110","-6.18","-6.48","0","bK01SH0B"
"(2009 TM8)","2079-2116","168","7.6e-5","7.96","28.6","0.007","-6.18","-7.56","0","bK09T08M"
"(2006 SF281)","2019-2116","360","1.3e-6","4.55","26.1","0.020","-6.18","-7.67","0","bK06SS1F"
"(2010 CS19)","2104-2116","7","4.5e-5","6.82","28.0","0.009","-6.18","-6.23","0","bK10C19S"
"(2011 BP40)","2023-2113","31","1.7e-6","3.52","25.4","0.029","-6.18","-6.58","0","bK11B40P"
"(2012 CL17)","2095-2115","19","1.4e-6","21.48","25.7","0.024","-6.18","-6.68","0","bK12C17L"
"(2017 TU1)","2073-2116","10","4.5e-6","10.71","26.2","0.020","-6.18","-6.69","0","bK17T01U"
"(2007 TX22)","2040-2088","57","3.4e-5","8.87","28.4","0.007","-6.19","-6.95","0","bK07T22X"
"(2009 TB)","2020-2112","42","7.9e-6","10.42","29.2","0.005","-6.19","-6.77","0","bK09T00B"
"(2013 HT14)","2071-2077","3","1.7e-6","20.51","26.3","0.019","-6.19","-6.31","0","bK13H14T"
"(2014 OY391)","2018-2113","48","3.4e-7","14.76","26.0","0.022","-6.19","-6.65","0","bK14Od1Y"
"(2010 VO139)","2022-2115","217","1.6e-6","20.62","26.6","0.017","-6.20","-7.30","0","bK10VD9O"
"(2002 UV36)","2087-2087","1","7.0e-6","8.06","26.7","0.016","-6.22","-6.22","0","bK02U36V"
"(2016 AB166)","2106-2108","3","3.1e-7","21.61","24.4","0.044","-6.22","-6.34","0","bK16AG6B"
"(2001 UD5)","2107-2107","1","4.1e-8","16.73","22.4","0.110","-6.23","-6.23","0","bK01U05D"
"(2005 TA)","2082-2115","17","2.0e-5","4.81","27.2","0.012","-6.23","-6.74","0","bK05T00A"
"(2017 UP43)","2110-2116","5","7.0e-6","7.91","26.4","0.018","-6.23","-6.52","0","bK17U43P"
"(2006 SR131)","2060-2116","30","2.8e-5","8.46","28.0","0.009","-6.24","-6.95","0","bK06SD1R"
"(2017 QM33)","2071-2107","12","1.1e-5","17.61","27.8","0.010","-6.24","-6.28","0","bK17Q33M"
"(2014 JV79)","2021-2116","168","2.9e-7","11.14","25.2","0.031","-6.24","-7.04","0","bK14J79V"
"(2015 UR67)","2091-2091","1","3.7e-6","11.63","26.3","0.019","-6.24","-6.24","0","bK15U67R"
"(2017 DG16)","2074-2105","29","1.5e-4","6.48","29.4","0.004","-6.24","-6.31","0","bK17D16G"
"(2007 VH189)","2037-2045","5","2.8e-8","18.48","23.4","0.073","-6.25","-6.69","0","bK07VI9H"
"(2007 DC)","2045-2115","57","1.2e-5","6.75","27.5","0.011","-6.26","-7.01","0","bK07D00C"
"(2007 US51)","2082-2114","8","8.8e-6","15.26","27.2","0.012","-6.28","-6.39","0","bK07U51S"
"(2008 EA9)","2068-2106","6","2.3e-5","1.24","27.7","0.010","-6.28","-6.70","0","bK08E09A"
"(2011 WN69)","2038-2109","4","1.8e-6","23.08","26.2","0.019","-6.28","-6.53","0","bK11W69N"
"(2011 BA60)","2029-2079","3","4.6e-9","14.82","22.0","0.140","-6.30","-6.54","0","bK11B60A"
"(2013 YB)","2017-2063","28","8.1e-5","8.93","31.4","0.002","-6.30","-6.60","0","bK13Y00B"
"(2016 EP84)","2092-2106","3","1.9e-5","2.33","27.4","0.011","-6.30","-6.37","0","bK16E84P"
"(2017 TW5)","2072-2115","5","4.7e-6","15.26","27.1","0.013","-6.30","-6.38","0","bK17T05W"
"(2017 SU17)","2069-2117","34","2.8e-5","8.32","28.0","0.009","-6.30","-6.84","0","bK17S17U"
"(2003 WT153)","2044-2108","57","2.7e-5","4.33","28.1","0.008","-6.31","-6.96","0","bK03WF3T"
"(2004 BN41)","2086-2116","3","2.5e-6","7.76","25.8","0.024","-6.31","-6.60","0","bK04B41N"
"(2008 LD)","2049-2116","56","9.3e-5","4.13","28.9","0.006","-6.31","-7.11","0","bK08L00D"
"(2008 XU2)","2039-2039","1","4.8e-7","9.93","25.6","0.026","-6.31","-6.31","0","bK08X02U"
"(2006 DN)","2056-2056","1","3.6e-7","4.00","24.5","0.043","-6.31","-6.31","0","bK06D00N"
"(2008 KN11)","2046-2046","1","3.6e-8","13.83","23.3","0.075","-6.32","-6.32","0","bK08K11N"
"(2010 TD)","2072-2091","5","2.7e-6","18.86","26.9","0.014","-6.33","-6.68","0","bK10T00D"
"(2008 UY91)","2018-2116","49","5.5e-8","15.25","24.8","0.036","-6.34","-6.63","0","bK08U91Y"
"(2016 JG38)","2021-2116","127","7.0e-8","17.35","24.1","0.051","-6.34","-7.36","0","bK16J38G"
"(2017 DW119)","2023-2113","34","1.6e-6","8.71","26.6","0.016","-6.34","-6.87","0","bK17DB9W"
"(2010 TN55)","2074-2116","18","2.7e-6","25.38","27.0","0.014","-6.35","-6.97","0","bK10T55N"
"(2010 VP139)","2017-2116","392","1.4e-5","2.80","28.6","0.006","-6.36","-7.17","0","bK10VD9P"
"(2011 UC64)","2093-2115","28","1.7e-5","14.05","27.9","0.009","-6.36","-7.02","0","bK11U64C"
