"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2006 UC64)","2069-2085","4","8.7e-8","20.09","25.0","0.034","-6.89","-7.21","0","bK06U64C"
"(2017 HZ4)","2091-2106","2","8.2e-7","5.91","25.9","0.023","-6.89","-7.17","0","bK17H04Z"
"(2006 UQ216)","2061-2116","7","4.3e-6","3.73","27.3","0.012","-6.90","-7.19","0","bK06UL6Q"
"(2016 JB29)","2090-2090","1","1.7e-7","8.56","24.7","0.039","-6.90","-6.90","0","bK16J29B"
"(2016 PR66)","2026-2113","23","1.2e-8","10.32","23.3","0.075","-6.90","-7.42","0","bK16P66R"
"(2011 CF22)","2030-2117","168","5.1e-5","18.80","30.9","0.002","-6.91","-7.73","0","bK11C22F"
"(2016 DK2)","2069-2110","2","7.7e-6","17.58","29.1","0.005","-6.91","-6.91","0","bK16D02K"
"(2007 EN88)","2094-2104","3","1.0e-6","12.16","26.4","0.017","-6.92","-7.08","0","bK07E88N"
"(2016 JN38)","2039-2116","101","6.5e-6","19.52","29.1","0.005","-6.92","-7.80","0","bK16J38N"
"(2017 RU2)","2093-2093","1","5.7e-7","7.73","25.8","0.024","-6.92","-6.92","0","bK17R02U"
"(2014 CE)","2111-2117","4","2.0e-6","13.02","27.0","0.013","-6.93","-7.10","0","bK14C00E"
"(2015 VP64)","2087-2087","2","3.5e-6","20.96","28.3","0.007","-6.93","-6.94","0","bK15V64P"
"(2009 WZ53)","2020-2104","8","1.2e-8","18.98","24.1","0.052","-6.94","-7.10","0","bK09W53Z"
"(2011 YC40)","2028-2050","7","5.7e-6","10.92","29.7","0.004","-6.94","-7.00","0","bK11Y40C"
"(2013 QM48)","2071-2116","19","3.8e-6","7.47","27.4","0.011","-6.94","-7.64","0","bK13Q48M"
"(2013 UR1)","2050-2060","4","8.5e-7","21.69","27.8","0.009","-6.95","-7.01","0","bK13U01R"
"(2008 WO2)","2065-2111","9","4.9e-5","6.11","29.8","0.004","-6.96","-7.32","0","bK08W02O"
"(2017 QT1)","2050-2069","3","3.1e-7","20.02","26.8","0.015","-6.98","-7.06","0","bK17Q01T"
"(2015 VK1)","2103-2109","2","7.7e-7","14.73","26.5","0.017","-6.98","-7.14","0","bK15V01K"
"(2016 VA18)","2020-2116","501","2.6e-6","8.75","28.5","0.007","-6.98","-7.69","0","bK16V18A"
"(2017 FC1)","2064-2064","1","4.5e-7","8.28","26.1","0.020","-6.98","-6.98","0","bK17F01C"
"(2012 BW13)","2086-2111","8","2.0e-6","11.68","27.2","0.012","-6.99","-7.37","0","bK12B13W"
"(2013 BR15)","2100-2110","3","1.6e-7","14.08","25.1","0.032","-6.99","-7.13","0","bK13B15R"
"(2015 BY3)","2033-2080","7","8.0e-7","16.56","27.5","0.011","-6.99","-7.45","0","bK15B03Y"
"(2008 XK)","2019-2109","101","4.0e-7","11.44","27.2","0.012","-7.00","-7.49","0","bK08X00K"
"(2016 CH30)","2100-2112","3","7.1e-6","5.46","28.0","0.009","-7.00","-7.05","0","bK16C30H"
"(2017 SS12)","2074-2113","7","1.7e-6","10.09","27.1","0.013","-7.01","-7.42","0","bK17S12S"
"(2017 AR20)","2023-2023","1","1.3e-10","18.52","21.3","0.190","-7.02","-7.02","0","bK17A20R"
"(2013 GW38)","2061-2113","14","6.5e-6","10.27","28.5","0.007","-7.03","-7.50","0","bK13G38W"
"(2000 SZ162)","2070-2109","6","1.9e-6","4.16","27.1","0.013","-7.04","-7.39","0","bK00SG2Z"
"(2017 KQ27)","2117-2117","1","4.7e-7","10.96","25.8","0.023","-7.04","-7.04","0","bK17K27Q"
"(2013 RR43)","2050-2057","2","6.0e-8","18.99","25.4","0.028","-7.05","-7.13","0","bK13R43R"
"(2006 HE2)","2081-2103","3","1.1e-6","5.03","26.5","0.017","-7.06","-7.32","0","bK06H02E"
"(2006 WP1)","2017-2017","1","2.6e-8","17.77","28.3","0.007","-7.06","-7.06","0","bK06W01P"
"(2006 YE)","2082-2095","4","2.4e-6","6.01","27.3","0.012","-7.06","-7.35","0","bK06Y00E"
"(2016 TT)","2084-2095","4","4.0e-7","11.56","26.0","0.021","-7.06","-7.43","0","bK16T00T"
"(2017 RJ2)","2108-2111","7","1.9e-6","15.86","27.5","0.011","-7.07","-7.38","0","bK17R02J"
"(2005 VP)","2053-2103","20","1.0e-7","12.83","25.5","0.027","-7.09","-7.55","0","bK05V00P"
"(2017 FW90)","2101-2103","3","7.4e-6","4.16","28.1","0.008","-7.09","-7.40","0","bK17F90W"
"(2003 YS70)","2107-2116","2","1.7e-5","3.16","28.8","0.006","-7.10","-7.26","0","bK03Y70S"
